water_year,lagoslakeid,res_time_yr,total_Pin_ugl,totTNload_gm2yr,TN_removal_gNm2yr,Pret_coef,lake_lon_decdeg,lake_lat_decdeg
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2001,456953,235.4978168,149.6508048,178.1539843,9544.904123,6.951827895,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
2002,456953,235.4978168,189.5047834,386.5333435,41202.05432,8.574631811,-120.0966536,39.40590211
