"","lagoslakeid","water_year","totaldepnitrogen_kgperha","flux","lake_lon_decdeg","lake_lat_decdeg","totTNload_gm2yr","TN_removal_gNm2yr"
"655","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"656","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"657","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"658","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"659","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"660","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"661","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"662","456953",2009,2.6522771543,23572.8822753118,-120.096653596,39.4059021067,2357.55345524661,1252020.22597239
"663","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"664","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"665","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"666","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"667","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"668","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"669","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"670","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"671","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"672","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"673","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"674","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"675","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"676","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"677","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"678","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"679","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"680","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"681","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"682","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"683","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"684","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"685","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"686","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"687","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"688","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"689","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"690","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"691","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"692","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"693","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"694","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"695","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"696","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"697","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"698","456953",2010,4.4422972427,27327.4117096179,-120.096653596,39.4059021067,2733.18540068606,1655171.03448078
"699","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"700","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"701","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"702","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"703","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"704","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"705","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
